epoch acc val_acc loss val_loss
0 0.478666666635 0.842 1.47579276079 0.541958280921 
1 0.777733333365 0.9225 0.699655940262 0.27667230995 
2 0.848399999968 0.94275 0.514920175954 0.20594764406 
3 0.8674 0.9565 0.514779668881 0.17385895863 
4 0.883933333365 0.94825 0.459742958077 0.210738527906 
5 0.886066666698 0.963 0.480529316398 0.153952652194 
6 0.8912 0.965 0.451282984893 0.181166952197 
7 0.899399999968 0.9675 0.454901384872 0.130543600701 
8 0.897 0.95775 0.49463231088 0.184892409468 
9 0.893999999968 0.96475 0.630796534101 0.163462470552 
